description	التصنيف
أعمال حدادة متنوعة بنظام المقطوعية	صيانة عامة
مقطوعيه حساب تعديلات الألواح جبسية	صيانة عامة
فك وتركيب الواجهة الزجاجية بنظام المقطوعية	أبواب ونوافذ
صيانة التكيفات تنظيف وجهحن فريون (وحدات خارجيه وداخليه)	تكييف وتهوية
توريد وتركيب مجرى دورج 40 سم	نجارة وأثاث
لاصق الرخام + لاصق الحوض	سباكة ومياه
لاصق الرخام بالسلكون	رخام وأرضيات
توريد وتركيب غطاء خشب متحرك 33×33	نجارة وأثاث
توريد وتركيب حامل مناديل ستانلس ستيل للحمام	صيانة عامة
توريد وتركيب جهاز صابون سائل دخل الحمام	صيانة عامة
توريد وتركيب ستارة بلاستك (2×130)	صيانة عامة
توريد وتركيب علبه خارجيه لمخرج كهرباء الوارمر	كهرباء وإضاءة
توريد وتركيب عود سيلنج لباب السيكوريت(230 سم)	أبواب ونوافذ
تصنيع وتوريد و تركيب وجه طبلون خشب ديكور	نجارة وأثاث
ترميم ثقب بجانب خرطوم التكيف	دهانات وترميمات
ترميم ومعجون حائط المخزن 60 سم×1 متر	دهانات وترميمات
توريد وتركيب قطعة خشب اسفل باب الحمام (7×75)	أبواب ونوافذ
توريد وتركيب وزرة رخامية رخام اسفل الحوض(1 متر×10سك)	سباكة ومياه
توريد وتركيب محول كهربائي 20 أمبير	كهرباء وإضاءة
توريد وتركيب قفل حماية	نجارة وأثاث
توريد وتركيب قفل غرفة الموارد البشرية	نجارة وأثاث
توريد وتركيب مقبض باب زجاج	أبواب ونوافذ
قفل وتركيبه غرفة أ/ابراهيم +حسابات	نجارة وأثاث
قفل وتركيبه غرفة أ/محمد كرم	نجارة وأثاث
توريد وتركيب كشاف 30 وات BM وارم	كهرباء وإضاءة
توريد سلك كهرباء 6×4 السويدي بطول 1.5 متر	صيانة عامة
صيانة مسار الصرف الصحي بالكامل داخل وخارج الفرع	سباكة ومياه
تصنيع وتوريد وحدات عرض مدرج عدد 6 ارفف من الكاونتر الاسود والبتش باين تصنيع وتوريد	نجارة وأثاث
تصنيع وتركيب وحدة خشبية لصندوق المهملات مطابقة للكاونتر	نجارة وأثاث
توريد وتركيب خلاط حوض خلاط يدوي تركي والسعر يشمل الوصلات وكل ما يلزم للانهاء	سباكة ومياه
توريد وتركيب طقم جرار درج لوحدة الادراج بالكاونتر	نجارة وأثاث
توريد وتركيب لمبه اناره بالمخزن والسعر يشمل قاعده اللمبه والتوصيل وقناة كهربائية المسار	كهرباء وإضاءة
توريد وتنفيذ اعمال الدهانات بفرع + الوجهه والمخزن تم طلاء طبقة نظافة نهائية	دهانات وترميمات
فك ارفف المخزن وتقطيع الالوح لوحدات التخزين الجديده	نجارة وأثاث
توريد وتركيب 4 مفصله لدرف وحدات الكاونتر مع عمل الصيانات للباقي الوحدات	نجارة وأثاث
توريد وتركيب 5 مفصله لدرف وحدات الكاونتر مع عمل الصيانات للباقي الوحدات	نجارة وأثاث
توريد وتركيب وحدات تخزين بدون الواح خشب لاستخدام الالوح السابقه وتم خصم نسبة الخشب	نجارة وأثاث
شحن فريون لعدد 4 وحدات تكييف	تكييف وتهوية
تنظيف عدد 4 وحدات تكييف	تكييف وتهوية
توريد وتغيير إضاءة ليد واجهة اللافتة	كهرباء وإضاءة
توريد وتركيب قفل لباب الحمام	أبواب ونوافذ
تنظيف وتعقيم حمام الدور الأول	صيانة عامة
توريد وتركيب خلاط ايطالي ساخن و بارد	سباكة ومياه
توريد وتركيب سلك نجف إضاءة 14 متر	صيانة عامة
صيانة وإصلاح جميع الدرف الحديدية	نجارة وأثاث
توريد وتغيير لمبة كاسة 7 وات وارم	كهرباء وإضاءة
توريد وتركيب نجفة ديكورية	صيانة عامة
صيانة وإصلاح درف وحدة الحوض	سباكة ومياه
